date,portfolio_value,portfolio_pnl_pct,sp500,sp500_pnl_pct
2026-01-26,11099.02,0.00,6798.75,0.00
2026-01-27,10970.70,-1.16,6816.14,0.26
2026-01-28,10979.39,-1.08,6735.53,-0.93
2026-01-29,11041.33,-0.52,6749.22,-0.73
2026-01-30,11083.50,-0.14,6726.94,-1.06
2026-02-02,10702.33,-3.57,6829.73,0.46
2026-02-03,10542.73,-5.01,6801.30,0.04
2026-02-04,10700.28,-3.59,6756.83,-0.62
2026-02-05,10576.90,-4.70,6682.25,-1.71
2026-02-06,10583.16,-4.65,6827.61,0.42
2026-02-09,10601.37,-4.48,6831.84,0.49
2026-02-10,10594.34,-4.55,6764.51,-0.50
2026-02-11,10653.90,-4.01,6772.38,-0.39
2026-02-12,10732.16,-3.31,6673.93,-1.84
2026-02-13,10707.19,-3.53,6681.54,-1.72
2026-02-16,10688.39,-3.70,6681.54,-1.72
2026-02-17,10745.40,-3.19,6698.92,-1.47
2026-02-18,10722.29,-3.39,6735.09,-0.94
2026-02-19,10689.71,-3.69,6751.98,-0.69
2026-02-20,10719.62,-3.42,6810.21,0.17
2026-02-23,10676.57,-3.81,6702.12,-1.42
2026-02-24,10756.77,-3.08,6776.82,-0.32
2026-02-25,10848.82,-2.25,6842.76,0.65
2026-02-26,10990.11,-0.98,6783.04,-0.23
2026-02-27,10978.92,-1.08,6760.55,-0.56
2026-03-02,10947.96,-1.36,6788.31,-0.15
2026-03-03,10904.56,-1.75,6759.95,-0.57
2026-03-04,10994.61,-0.94,6862.26,0.93
2026-03-05,11049.89,-0.44,6809.80,0.16
2026-03-06,11045.76,-0.48,6735.34,-0.93
2026-03-09,11045.93,-0.48,6841.25,0.63
2026-03-10,11013.57,-0.77,6771.42,-0.40
2026-03-11,10688.24,-3.70,6769.20,-0.43
2026-03-12,10655.77,-3.99,6705.45,-1.37
2026-03-13,10616.09,-4.35,6677.28,-1.79
2026-03-16,10663.54,-3.92,6795.99,-0.04
2026-03-17,10753.42,-3.11,6774.76,-0.35
